COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,SUM,AVG PER TEAM,STD DEV,AVG * STD DEV
"MUN,WOL",1.8,0.8,1.8,0.8,1.8,1.3,0.8,2.3,0.8,3,3,1.3,1.8,1.3,3,25.6,2.56,0.8101734088,2.074043927
"BHA,WHU",1.5,1.9,3.1,2.4,1.4,0.9,3.5,1,1.9,1.5,2.5,2,1,1.4,1.5,27.5,2.75,0.7631388815,2.098631924
"EVE,TOT",1.9,1,1.4,1.5,2.5,2.4,1.4,1.4,1.5,1.5,2.5,1.4,3.6,3,2,29,2.9,0.72473312,2.101726048
"LEI,SHU",1.3,1.8,1.3,2.5,0.8,3.5,1.8,3,2.5,0.8,1.8,1.3,1.8,1.8,1.8,27.8,2.78,0.7567474259,2.103757844
"NEW,WOL",1.8,1.5,3,0.8,1.8,1.3,0.8,3,2.5,1.5,2,1,2,1,3,27,2.7,0.7837638128,2.116162295
"CHE,EVE",1.8,1,1.3,0.8,2.5,3,2,1.3,1.5,1.5,1.3,2.3,3.5,2.5,2,28.3,2.83,0.7605136109,2.152253519
"LEI,WOL",1.3,1.8,3,0.8,1.3,1.3,0.8,3,2.5,0.8,1.8,1.3,1.8,2.3,3,26.8,2.68,0.8043335011,2.155613783
"LEI,SOU",1.3,1.8,2.4,0.9,1.3,1.9,1.8,1.4,3.5,0.8,1.8,1.3,1.8,3.5,1.4,26.9,2.69,0.8030892733,2.160310145
"LEE,WOL",1.8,0.8,1.8,0.8,1.8,1.3,0.8,1.3,2.5,2.3,4,1.3,1.3,2.3,1.8,25.9,2.59,0.8344944292,2.161340572
"AVL,NEW",3,1.5,1.5,2,3.6,1.5,2,3,1.5,1.5,1.5,1,2,1,1,27.6,2.76,0.7872193377,2.172725372
"CHE,LEI",1.3,1.8,1.3,0.8,1.3,3.5,1.8,1.3,1.8,0.8,1.3,1.3,1.8,2.5,3.5,26.1,2.61,0.833066624,2.174303889
"MCI,TOT",1.9,3,1.4,1.8,2.5,2.3,1.4,1.4,3.4,1.8,0.8,1.4,0.8,2.8,1.3,28,2.8,0.7825477317,2.191133649
"LIV,WBA",1.3,2.5,2.9,1.8,2,1.3,1.5,3.1,2.9,1.5,1,1.3,2.9,1.3,0.8,28.1,2.81,0.7832776069,2.201010075
