COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,SUM,AVERAGE PER TEAM,STD DEV,AVG * STD DEV
"AVL,CHE,FUL,WHU",6.4,7.1,4.3,8,8.1,6.5,5.8,5.3,5.3,7.5,6.5,7.9,4.5,6,5,94.2,2.093333333,1.257094155,2.631517098
"LIV,MUN,SOU,TOT",4.6,6.8,5.6,5.7,6.6,5.6,6.1,5.1,7.2,8.4,7.8,4.1,8.2,5.6,5.7,93.1,2.068888889,1.273054071,2.633807422
"ARS,BUR,LEE,WBA",9.5,5.8,8,6.3,6.4,6.8,8.1,4.6,5.8,6.8,6.4,6.4,5.7,6.9,7.3,100.8,2.24,1.176070941,2.634398907
"BHA,CRY,EVE,WOL",7.9,7,6.4,4.7,4.6,3.6,6.3,6.8,5.8,6.4,6.4,7.8,7.9,6.8,6.9,95.3,2.117777778,1.24491346,2.636450062
"BUR,FUL,LEI,WHU",5.9,7.3,7.1,8,4.7,7.5,6.4,5.9,4.9,5.9,7.4,6.8,4.3,8.5,5.9,96.5,2.144444444,1.229788987,2.637214161
"EVE,MUN,SOU,WBA",8.1,4.3,5.7,5.4,7.9,6.9,5.4,6.8,5.8,6,5.4,7.1,8.9,5.9,6.9,96.5,2.144444444,1.23036967,2.638459403
"BUR,CRY,LIV,NEW",6.8,9,7.3,5.7,5.1,5.7,8.3,6.3,6.2,4.7,5.3,5.3,6.8,5.3,4.6,92.4,2.053333333,1.284968037,2.638467703
"BHA,CHE,FUL,NEW",7.9,5.4,6.4,5.2,5.9,5.5,5.3,6.2,5.7,8.1,5.8,6.8,4.9,4.4,9,92.5,2.055555556,1.284337888,2.64002788
"AVL,LEE,LEI,WOL",8.1,4.1,6.3,7.8,6.1,4.6,5.1,7.8,7,6.1,7.3,5.1,5.1,7.3,5.8,93.6,2.08,1.269308023,2.640160688
"ARS,MCI,MUN,WOL",8.2,6.7,7.7,4,6.5,6.6,5.6,7.2,5.2,7.8,7.3,7.2,5.1,6,7.8,98.9,2.197777778,1.201467357,2.640558258
"AVL,LEI,MUN,WOL",8.1,4.1,6.3,6.3,4.9,6.3,5.1,8.8,4.8,6.8,6.3,6.2,5.6,5.1,7.5,92.2,2.048888889,1.288890257,2.640792927
"ARS,EVE,FUL,LEI",5.8,4.8,8,5.4,7.8,7,4.8,7.4,5.4,5.3,7.8,6.9,5.8,7.5,8,97.7,2.171111111,1.216474218,2.641100692
"BUR,FUL,NEW,TOT",8,6.5,5.4,7.5,5.9,6.4,4.4,6.3,6.6,9.2,6.9,5.9,5.4,6,7.9,98.3,2.184444444,1.209407568,2.641883644
