COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,SUM,AVG PER TEAM,STD DEV,AVG * STD DEV
"ARS,LEE,WBA",4.5,3.3,5.5,4.4,5,3.8,4.5,2.7,4.9,3.8,42.4,4.24,0.8435375247,3.576599105
"LEE,LIV,WBA",4.4,3.3,4.7,4.8,4.3,3.1,4.3,4.4,5.9,3.3,42.5,4.25,0.8436033823,3.585314375
"BUR,LEI,SOU",2.7,4.8,4.9,2.8,2.7,4.9,3.7,3.3,4.4,4.4,38.6,3.86,0.9299940263,3.589776941
"EVE,TOT,WOL",3.7,4,2.9,2.3,4.3,3.7,2.2,4.9,4,5,37,3.7,0.972967968,3.599981481
"MUN,SHU,SOU",4.4,2.6,3.1,3.9,2.6,5.4,4.9,3.7,3.3,4.3,38.2,3.82,0.9437513797,3.60513027
"LIV,MUN,NEW",4.3,2.3,4.7,3.8,4.1,4.8,4.8,5.3,3.7,3.3,41.1,4.11,0.8786985326,3.611450969
"LEE,SHU,SOU",4.4,2.6,3.1,4.4,3.8,3.7,4.9,2.7,5.5,3.6,38.7,3.87,0.9405081369,3.63976649
"BUR,SOU,WBA",4.5,5.5,4.9,2.8,3.4,3.9,3.4,3.3,4.4,5.1,41.2,4.12,0.8941787045,3.684016262
"CRY,EVE,NEW",5.5,2.5,3.4,3.5,5.1,4.4,4,4.4,3.9,2.9,39.6,3.96,0.9335713982,3.696942737
"ARS,SHU,WOL",3.2,4.3,4.3,2.2,2.6,4.3,4.9,4.9,4.4,4.3,39.4,3.94,0.9395034149,3.701643455
"SHU,SOU,WBA",4.4,4.3,3.7,3.9,2.8,3.9,3.4,4.5,6,2.8,39.7,3.97,0.9333928552,3.705569635
"CHE,FUL,LEE",4.9,2.8,2.8,4.4,4.5,2.8,3.3,2.6,3.8,5.3,37.2,3.72,0.9964381009,3.706749735
"EVE,FUL,WHU",4.6,3,3,5.1,5.6,4,3,4,3.5,3,38.8,3.88,0.9566144004,3.711663874
"BHA,EVE,LEI",4.9,2.8,5.1,3.9,2.7,3.9,3.8,4.9,3.4,2.3,37.7,3.77,0.9855060742,3.7153579
"BHA,SHU,SOU",4.4,3.7,3.7,3.3,2.2,2.8,5.4,3.3,4.4,4.9,38.1,3.81,0.9757618106,3.717652499
"ARS,FUL,MUN",4.5,2.8,3.3,4.4,3.8,4,4,3.7,2.7,6,39.2,3.92,0.9484490263,3.717920183
"CRY,LIV,MUN",3.8,4.8,3.7,4.8,3.2,2.7,5.8,3.7,3.2,3.2,38.9,3.89,0.9562077877,3.719648294
"BHA,EVE,TOT",5.5,2.9,2.9,3.9,3.9,3.3,3.4,3.3,3.4,5.6,38.1,3.81,0.9768998584,3.72198846
"FUL,LEE,LIV",4.4,2.8,3.3,5.4,4.3,2.3,3.8,4.3,4.9,4.1,39.6,3.96,0.9406853294,3.725113904
"AVL,CRY,WOL",4.3,5.6,3.4,4.9,3.2,2.7,3.3,4.9,3.9,4.4,40.6,4.06,0.9179687722,3.726953215
"BHA,CHE,MCI",5.4,5.3,4.2,2.6,3.9,3.2,4.1,3.2,3.7,4.8,40.4,4.04,0.9227976786,3.728102621
"MUN,WBA,WOL",4.9,3.3,4.8,3.8,3.6,3.3,2.3,5.4,3.3,4.5,39.2,3.92,0.9519570485,3.73167163
"CHE,EVE,LIV",3.1,5,2.8,2.3,4.8,4.3,4.3,5,3.3,3.3,38.2,3.82,0.9784341231,3.73761835
"EVE,WHU,WOL",3.3,4.6,4.5,2.3,5.4,4.3,2.8,4.5,3.5,3,38.2,3.82,0.9807026959,3.746284298
"FUL,SOU,WBA",4.5,4.5,3.9,3.9,4,2.9,2.5,4.4,5.5,5.1,41.2,4.12,0.9101892355,3.74997965
"FUL,MCI,WHU",4.6,5.4,4.4,5.4,4.9,3.3,2.8,4,4,3.3,42.1,4.21,0.8962266578,3.77311423
"CHE,LIV,NEW",3.1,5.5,4.2,2.6,4.8,4.9,4.3,4.3,4.7,3.3,41.7,4.17,0.9055998626,3.776351427
"BHA,FUL,LIV",4.4,3.9,4.4,4.2,3.4,1.9,3.8,4.9,3.9,5.4,40.2,4.02,0.9402127419,3.779655222
"LEE,WBA,WOL",4.9,3.3,4.8,3.8,3.8,3.1,2.3,4.4,5.5,3.8,39.7,3.97,0.9522488004,3.780427737
"CHE,LIV,MUN",3.1,4.8,3.1,2.6,4.1,4.8,5.1,3.6,2.6,4.8,38.6,3.86,0.9800226755,3.782887527
"CHE,LEE,LIV",3.1,4.8,3.1,2.6,4.8,3.1,5.1,2.6,4.7,4.1,38,3.8,0.9966610925,3.787312152
"CHE,EVE,TOT",3.7,4,2.7,2.3,5,5.4,3.4,2.7,3.3,4.5,37,3.7,1.028483241,3.805387993
"CHE,CRY,NEW",4.3,5.6,3.2,2.8,3.9,5,4.3,2.7,4.2,2.9,38.9,3.89,0.9803060747,3.81339063
"CRY,EVE,FUL",5.6,3,3,5.1,3.4,2.4,3,4.4,3.5,2.9,36.3,3.63,1.05097838,3.81505152
"BUR,EVE,LIV",4.9,4.5,4,3.3,3.7,4.3,4.8,5.6,2.4,3.3,40.8,4.08,0.9378462324,3.826412628
"FUL,LIV,MUN",4.4,2.8,3.3,4.8,3.8,2.3,3.8,5.3,2.8,4.8,38.1,3.81,1.006037331,3.833002231
"AVL,CHE,SHU",4.8,3.3,2.6,4.3,3.3,5.5,4.8,4.9,3.3,4.3,41.1,4.11,0.9326783416,3.833307984
"EVE,FUL,LEI",4.4,2.8,3,4,3.3,4,2.8,6,3.5,2.3,36.1,3.61,1.061916506,3.833518588
"CHE,LEE,TOT",3.7,3.8,2.7,4.9,5,4.2,3.7,2.6,4.8,5.3,40.7,4.07,0.9428679653,3.837472619
"CHE,CRY,MUN",4.3,4.9,3.1,3.8,3.2,4.9,5.3,2.7,2.6,4.4,39.2,3.92,0.9795690663,3.83991074
"CRY,EVE,MCI",6.1,4.4,3.4,3.3,4.3,3.7,3.8,5.1,3.9,2.9,40.9,4.09,0.9421606374,3.853437007
"ARS,LEE,WOL",3.2,3.3,4.8,2.2,4.8,3.1,3.8,2.7,4.4,5.3,37.6,3.76,1.025453829,3.855706397
"ARS,CRY,TOT",3.3,5.5,3.3,5.5,3.9,3.8,4.9,2.8,4.3,4.4,41.7,4.17,0.9274217547,3.867348717
"ARS,LIV,TOT",2.7,5.5,4.3,3.2,4.8,3.7,4.2,2.8,4.8,4.8,40.8,4.08,0.9484490263,3.869672027
"ARS,CRY,WBA",3.9,5,5.6,4.4,3.4,3.4,5,2.8,4.3,2.9,40.7,4.07,0.951081256,3.870900712
"ARS,SHU,WBA",4.4,4.3,5,4.4,2.8,5,5.6,4.5,4.4,2.8,43.2,4.32,0.8966604709,3.873573234
"CRY,MCI,NEW",5.5,4.9,4.8,3.8,4.3,3.7,3.8,4.4,5.8,2.9,43.9,4.39,0.8849984306,3.88514311
"LEE,LIV,WOL",3.1,4.8,4.7,2.6,4.1,2.6,3.6,4.8,5.4,4.1,39.8,3.98,0.9795690663,3.898684884
"EVE,SHU,SOU",4.4,2.8,2.8,2.4,4.9,4.9,3.9,5.1,4,2.8,38,3.8,1.026320288,3.900017094
"ARS,FUL,LEE",4.5,2.8,3.3,5,5,2.8,4,2.7,3.9,5.3,39.3,3.93,0.997830981,3.921475755
"CHE,FUL,MCI",4.9,5.4,2.8,2.6,4.5,3.3,2.8,4.3,3.8,4.8,39.2,3.92,1.003106287,3.932176643
"BHA,EVE,WHU",5.1,2.9,4.6,3.9,5,3.9,5.5,2.9,3.4,3,40.2,4.02,0.9784341231,3.933305175
"ARS,LIV,MUN",2.7,3.3,4.7,3.2,4.1,4.3,5.8,3.7,2.7,4.8,39.3,3.93,1.001165987,3.934582329
"FUL,NEW,WHU",4.5,3.5,4.6,5.6,5.6,4.6,3,4,4,3,42.4,4.24,0.928798507,3.93810567
"AVL,BHA,LEI",4.9,3.3,5.1,4.9,2.7,2.4,4.3,4.9,3.4,3.8,39.7,3.97,0.9922477289,3.939223484
"EVE,TOT,WBA",5,3.5,2.9,4.5,4.5,4.4,2.9,4.5,5.7,3,40.9,4.09,0.9654590158,3.948727374
"EVE,LEE,LEI",4.9,1.8,3.3,4,4.3,4.8,3.8,4.3,4.5,2.3,38,3.8,1.040299102,3.953136589
"EVE,FUL,TOT",5,3,2.9,5.1,4.5,3.4,2.4,4.4,3.5,5.1,39.3,3.93,1.008904797,3.964995851
"CRY,LIV,NEW",3.8,5.5,4.8,3.8,3.7,2.7,4.8,4.4,5.3,2.9,41.7,4.17,0.9522488004,3.970877497
"AVL,CHE,CRY",4.3,5.6,2.8,4.9,3.9,2.9,4.8,2.7,3.3,4.4,39.6,3.96,1.004655828,3.97843708
"EVE,LIV,WHU",2.8,4.6,4.4,3.3,5.9,4.3,4.8,4.7,3.5,3,41.3,4.13,0.9638464608,3.980685883
"LEI,LIV,MUN",2.6,2.6,4.7,4.3,3.1,4.8,4.6,5.3,3.7,2.6,38.3,3.83,1.041419971,3.988638488
"ARS,CHE,WBA",3.2,5,5,2.2,4.5,5,3.8,2.7,3.7,4.5,39.6,3.96,1.010170503,4.000275191
"BUR,LIV,WBA",4.4,6,5.4,3.7,3.4,3.3,4.3,5,3.8,3.3,42.6,4.26,0.9430447144,4.017370483
"BHA,EVE,LIV",4.9,2.9,4.4,3.3,3.7,2.2,4.8,5.6,3.4,3.3,38.5,3.85,1.044828535,4.022589858
"CRY,LEI,MUN",3.8,2.6,3.7,5.5,2.7,4.9,4.8,3.7,3.2,2.2,37.1,3.71,1.08571533,4.028003874
"BHA,NEW,TOT",4.9,3.4,5,4.4,3.9,3.3,3.4,3.3,5.6,5.6,42.8,4.28,0.9437513797,4.039255905
"FUL,LEI,MUN",4.4,2.6,3.3,5.5,3.1,4.5,2.8,5.3,2.8,3.8,38.1,3.81,1.062962318,4.049886431
"MUN,TOT,WOL",3.7,3.8,3.2,3.8,3.6,3.7,2.2,3.7,3.3,6.5,37.5,3.75,1.080380591,4.051427218
"MUN,SHU,WOL",4.8,2.6,3.1,3.8,2.6,4.8,3.8,5.8,3.3,4.3,38.9,3.89,1.042912588,4.056929968
"CRY,NEW,SOU",3.9,4.5,4.3,2.9,5.1,3.3,3.9,2.8,5.9,2.9,39.5,3.95,1.027672667,4.059307036
"CRY,LEI,SOU",2.7,4.8,4.3,3.4,2.7,3.3,3.7,2.8,5.9,2.2,35.8,3.58,1.134117376,4.060140206
"ARS,MUN,WOL",3.2,3.3,4.8,2.2,3.6,4.3,3.8,3.7,2.7,6,37.6,3.76,1.080329168,4.062037671
"CRY,SHU,SOU",3.9,4.8,3.2,4.4,2.2,3.3,5.4,2.8,4.9,2.7,37.6,3.76,1.080329168,4.062037671
"BUR,CRY,LEI",3.8,5.3,4.4,4.4,2.7,4.4,5.3,3.3,3.3,2.2,39.1,3.91,1.039711498,4.065271959
"CHE,FUL,WHU",3.3,5.6,2.8,4.4,4.5,5,3.3,2.3,3.8,4.5,39.5,3.95,1.02983278,4.067839483
"ARS,MCI,SHU",4.4,4.3,4.2,3.2,3.7,5.3,5.9,5.4,4.4,3.1,43.9,4.39,0.9267026372,4.068224577
"CHE,FUL,MUN",4.9,2.8,2.8,3.8,3.8,4.5,3.3,3.6,2.6,6,38.1,3.81,1.068176015,4.069750619
"BHA,EVE,SOU",5,2.9,3.9,2.4,5.5,2.8,3.9,3.3,3.4,5.1,38.2,3.82,1.065415933,4.069888866
"MUN,NEW,SOU",4.4,2.3,4.2,2.9,5.5,5.4,3.9,3.7,4.3,4.5,41.1,4.11,0.9904544412,4.070767753
"LIV,MUN,WHU",2.8,4.4,4.7,4.8,4.1,4.8,5.8,3.3,2.8,3.3,40.8,4.08,0.9986657766,4.074556368
"MUN,TOT,WBA",5,3.3,3.2,6,3.8,4.4,2.9,3.7,5,4.5,41.8,4.18,0.9750213673,4.075589315
"ARS,CRY,MCI",3.9,5.9,4.8,3.2,4.3,3.7,5.3,2.8,4.3,3.2,41.4,4.14,0.9856751775,4.080695235
"MCI,MUN,SOU",6.4,3.8,4.2,2.7,4.7,4.2,3.7,3.7,4.2,4.8,42.4,4.24,0.962866092,4.08255223
"BUR,LEI,TOT",3.2,4.8,3.9,4.4,2.7,5.4,3.2,3.3,5.4,4.9,41.2,4.12,0.9919677414,4.086907095
"SHU,TOT,WOL",3.7,4.8,2.7,4.3,2.6,3.7,2.2,4.9,5,4.8,38.7,3.87,1.058353018,4.09582618
"CRY,SOU,WBA",3.9,5.5,4.3,3.9,3.4,3.3,3.4,2.8,5.9,2.9,39.3,3.93,1.042486344,4.096971333
