COMBO,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,SUM,AVERAGE PER TEAM,STD DEV,AVG * STD DEV
"CHE,CRY,LEE,LIV,NEW",8.6,10.4,7.9,8.7,9.2,8.1,10.1,7,10.1,7,87.1,2.1775,1.240474819,2.701133919
"CHE,CRY,FUL,LEI,SOU",7,10.9,7.1,7.8,7.2,7.8,7,7.1,9.7,8.8,80.4,2.01,1.344288329,2.702019541
"CRY,LEE,SHU,SOU,WOL",8.7,9.7,7.4,9.3,7,6.4,9.2,7.6,10.4,8.5,84.2,2.105,1.283917616,2.702646581
"BHA,EVE,WBA,WHU,WOL",10,9,11.2,7.7,8.8,7.2,7.8,9.5,7.9,8,87.1,2.1775,1.241370211,2.703083634
"CHE,EVE,FUL,LEI,SOU",7.6,7.8,6.7,5.7,9.9,9.4,6.7,8.7,8.8,8.9,80.2,2.005,1.348909024,2.704562594
"AVL,CHE,CRY,SHU,SOU",8.7,10.4,6,9.3,8.3,8.8,10.2,7.7,8.2,8.7,86.3,2.1575,1.254370139,2.706303574
"ARS,EVE,LIV,MUN,TOT",8.2,7.3,7.6,7.7,11.1,9.7,9.2,8.8,7.1,9.3,86,2.15,1.258747173,2.706306421
"CRY,EVE,LEE,LIV,WOL",9.2,9.9,8.1,8.2,8.5,5.8,8.6,9.9,9.3,7,84.5,2.1125,1.283441554,2.711270283
"BHA,CHE,MUN,SOU,WBA",9.9,8.2,9.1,7.1,7.7,8.3,8.7,6.9,8,11.1,85,2.125,1.276279315,2.712093544
"BHA,CHE,EVE,LEI,WOL",8.5,9.2,9.4,5.5,7,8.7,6.9,9.7,7.7,8.8,81.4,2.035,1.334332959,2.715367571
"BUR,EVE,FUL,WHU,WOL",10,10.1,8.5,7.8,8.8,8.3,7.4,9.4,6.4,10.1,86.8,2.17,1.251488003,2.715728967
"ARS,CRY,FUL,LEI,SOU",6.6,9.3,10.8,8.4,8.8,7.3,8.2,7.2,9.8,8.8,85.2,2.13,1.275234183,2.71624881
"BHA,CHE,NEW,SHU,SOU",9.2,8.2,8.6,6.1,8.4,10.4,9.7,7.6,9.7,9.4,87.3,2.1825,1.244588285,2.716313933
"BUR,CRY,EVE,FUL,SOU",10.6,9.5,7.3,7.9,8.9,7.3,8.4,7.7,6.8,10.1,84.5,2.1125,1.286036115,2.716751293
"ARS,CHE,LEE,SHU,WOL",8,9.6,7.4,6.5,8.1,10.1,10.2,7.5,8.7,9.6,85.7,2.1425,1.268463638,2.717683344
"CHE,FUL,LEE,LEI,MCI",11.2,8,7.5,8.7,8.7,8.6,6.9,8.6,10.2,7.9,86.3,2.1575,1.259673679,2.717745963
